train_epoch=1, train_step=1, auc=0.868687, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.919192, ndcg=0.000000
train_epoch=1, train_step=3, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.747475, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.909091, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.959596, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.929293, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=7, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.808081, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.858586, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.939394, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.919192, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.898990, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=3, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.959596, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=8, auc=0.818182, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.959596, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.929293, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.919192, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.909091, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=4, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.484848, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.909091, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=4, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.838384, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.747475, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.959596, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.272727, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.888889, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=3, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.848485, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.939394, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.484848, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.909091, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.919192, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.727273, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.727273, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.171717, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.919192, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.828283, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.929293, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.919192, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.444444, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.898990, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.939394, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.858586, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=4, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.646465, ndcg=0.000000
train_epoch=1, train_step=4, auc=0.252525, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.737374, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.686869, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.858586, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.959596, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.878788, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.656566, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.909091, ndcg=0.000000
train_epoch=1, train_step=6, auc=0.535354, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.939394, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.959596, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.929293, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.979798, ndcg=0.000000
